project name,compile status,compile time,compile time(np),spotbugs execute status,spotbugs execute time,rbugs execute time,speedup with compilation time,speedup with compilation time(np),speedup without compilation time
community,SUCCESS,04:54 min,7.480 s,SUCCESS,5.116 s,0.511432 s,585,25,10
Angular2AndJavaEE,SUCCESS,05:36 min,01:24 min,SUCCESS,3.812 s,0.180909 s,1878,485,21
biojava,SUCCESS,06:13 min,16.018 s,SUCCESS,41.549 s,16.791840 s,25,3,2
nacos-spring-boot-project,SUCCESS,14:42 min,13.560 s,SUCCESS,6.697 s,0.008625 s,103037,2349,776
spring-boot-api-project-seed,SUCCESS,01:41 min,3.720 s,SUCCESS,3.671 s,0.050090 s,2090,148,73
spring-boot-java-swing-reservations,SUCCESS,03:40 min,9.702 s,SUCCESS,5.028 s,0.771260 s,292,19,7
quickfixj,SUCCESS,06:44 min,03:04 min,SUCCESS,03:00 min,2.434616 s,240,150,74
spring-comparing-template-engines,SUCCESS,04:27 min,7.763 s,SUCCESS,4.373 s,0.118222 s,2295,103,37
tij4-maven,SUCCESS,9.853 s,0.223 s,SUCCESS,1.085 s,0.000032 s,341812,40875,33906
fabric8-maven-plugin,SUCCESS,49:32 min,20.148 s,SUCCESS,43.898 s,3.219296 s,937,20,14
java-microservice,SUCCESS,18:56 min,8.803 s,SUCCESS,6.811 s,0.020695 s,55222,754,329
spring-cloud-release,SUCCESS,06:08 min,14.848 s,SUCCESS,1.576 s,0.000036 s,10266000,456222,43778
java-uuid-generator,SUCCESS,01:00 min,0.790 s,SUCCESS,3.964 s,0.217783 s,294,22,18
cloud-opensource-java,SUCCESS,20:39 min,04:42 min,SUCCESS,5.331 s,0.592063 s,2102,485,9
flyer-maker,SUCCESS,19.205 s,1.869 s,SUCCESS,3.543 s,0.123645 s,184,44,29
gchisto,SUCCESS,22.534 s,2.758 s,SUCCESS,5.551 s,1.053181 s,27,8,5
travels-java-api,SUCCESS,07:14 min,6.259 s,SUCCESS,4.733 s,0.293784 s,1493,37,16
spring-zeebe,SUCCESS,16:00 min,10.162 s,SUCCESS,10.846 s,0.191283 s,5075,110,57
visualee,SUCCESS,01:16 min,3.084 s,SUCCESS,4.131 s,0.264057 s,303,27,16
javaee7-essentials-archetype,SUCCESS,17.965 s,1.791 s,SUCCESS,1.107 s,0.000039 s,489026,74308,28385
webcam-capture,SUCCESS,12:24 min,6.141 s,SUCCESS,33.457 s,1.597078 s,487,25,21
cloud-espm-v2,SUCCESS,36.713 s,3.962 s,SUCCESS,6.239 s,0.386748 s,111,26,16
reactive-ms-example,SUCCESS,07:05 min,3.084 s,SUCCESS,3.879 s,0.083114 s,5160,84,47
pandomium,SUCCESS,01:31 min,1.566 s,SUCCESS,3.848 s,0.110513 s,858,49,35
osgi.enroute,SUCCESS,35:24 min,02:41 min,SUCCESS,16.685 s,0.143011 s,14969,1242,117
client-maven-plugin,SUCCESS,06:24 min,4.057 s,SUCCESS,4.370 s,0.134627 s,2885,63,32
code-assert,SUCCESS,06:56 min,11.667 s,SUCCESS,11.600 s,0.927279 s,461,25,13
opencc4j,SUCCESS,31.629 s,2.524 s,SUCCESS,3.515 s,0.088405 s,398,68,40
hprose-java,SUCCESS,16.142 s,4.902 s,SUCCESS,6.072 s,2.386349 s,9,5,3
SpringBootUnity,SUCCESS,40:34 min,22.172 s,SUCCESS,5.148 s,0.513139 s,4753,53,10
jetty.project,SUCCESS,12:35 min,02:14 min,SUCCESS,03:13 min,25.539645 s,37,13,8
triava,SUCCESS,8.734 s,2.088 s,SUCCESS,4.648 s,0.848576 s,16,8,5
jol,SUCCESS,15.095 s,3.283 s,SUCCESS,4.618 s,0.523906 s,38,15,9
javaee8-essentials-archetype,SUCCESS,5.588 s,1.241 s,SUCCESS,1.191 s,0.000032 s,211844,76000,37219
hope-cloud,SUCCESS,03:25 min,6.349 s,SUCCESS,8.772 s,0.012985 s,16463,1164,676
java-speech-api,SUCCESS,10.591 s,3.098 s,SUCCESS,4.033 s,0.244581 s,60,29,16
jmh,SUCCESS,59.469 s,16.417 s,SUCCESS,7.955 s,2.409678 s,28,10,3
javaee-javascript,SUCCESS,53.328 s,1.759 s,SUCCESS,3.407 s,0.049837 s,1138,104,68
paho.mqtt.java,SUCCESS,01:08 h,02:20 min,SUCCESS,13.844 s,2.959214 s,1383,52,5
bitfinex-v2-wss-api-java,SUCCESS,01:12 min,2.484 s,SUCCESS,4.685 s,0.790136 s,97,9,6
aem-component-generator,SUCCESS,04:02 min,7.939 s,SUCCESS,4.524 s,0.281290 s,876,44,16
superword,SUCCESS,06:01 min,22.384 s,SUCCESS,6.293 s,1.570528 s,234,18,4
reddit-bot,SUCCESS,17.256 s,3.396 s,SUCCESS,4.022 s,0.169577 s,125,44,24
asmsupport,SUCCESS,24.939 s,5.364 s,SUCCESS,4.545 s,1.126139 s,26,9,4
Benchmark,SUCCESS,01:58 min,13.372 s,SUCCESS,21.033 s,24.456591 s,6,1,1
wro4j,SUCCESS,12:31 min,01:01 min,SUCCESS,6.202 s,1.898156 s,399,35,3
spring-mvc-angular-js-hibernate-bootstrap-java-single-page-jwt-auth-rest-api-webapp-framework,SUCCESS,01:22 min,4.839 s,SUCCESS,4.432 s,0.281824 s,307,33,16
spring-context-support,SUCCESS,26.359 s,2.060 s,SUCCESS,3.960 s,0.337288 s,90,18,12
nacos-spring-project,SUCCESS,03:59 min,6.998 s,SUCCESS,3.613 s,0.047032 s,5158,226,77
spring-boot-graalvm,SUCCESS,01:59 min,2.979 s,SUCCESS,3.565 s,0.005029 s,24372,1301,709
cms-admin-end,SUCCESS,01:29 min,4.804 s,SUCCESS,6.091 s,1.237251 s,77,9,5
spring4.x-project,SUCCESS,03:17 min,1.920 s,SUCCESS,22.857 s,0.090845 s,2420,273,252
